name,chr,start,stop,
grau,2R,21009764,21011921,"{""name"":""grau"",""chr"":""2R"",""start"":21009764,""stop"":21011921},"
Grd,3L,17823333,17839767,"{""name"":""Grd"",""chr"":""3L"",""start"":17823333,""stop"":17839767},"
grk,2L,8431086,8433598,"{""name"":""grk"",""chr"":""2L"",""start"":8431086,""stop"":8433598},"
grn,3R,8147368,8181444,"{""name"":""grn"",""chr"":""3R"",""start"":8147368,""stop"":8181444},"
gro,3R,26041736,26049911,"{""name"":""gro"",""chr"":""3R"",""start"":26041736,""stop"":26049911},"
Gs1,2L,132077,134472,"{""name"":""Gs1"",""chr"":""2L"",""start"":132077,""stop"":134472},"
Gs2,X,11422832,11430197,"{""name"":""Gs2"",""chr"":""X"",""start"":11422832,""stop"":11430197},"
gsb-n,2R,25040383,25052331,"{""name"":""gsb-n"",""chr"":""2R"",""start"":25040383,""stop"":25052331},"
gsb,2R,25061964,25064643,"{""name"":""gsb"",""chr"":""2R"",""start"":25061964,""stop"":25064643},"
GstD1,3R,12367817,12369268,"{""name"":""GstD1"",""chr"":""3R"",""start"":12367817,""stop"":12369268},"
gt,X,2427113,2428967,"{""name"":""gt"",""chr"":""X"",""start"":2427113,""stop"":2428967},"
h,3L,8675759,8679253,"{""name"":""h"",""chr"":""3L"",""start"":8675759,""stop"":8679253},"
H,3R,20621938,20628915,"{""name"":""H"",""chr"":""3R"",""start"":20621938,""stop"":20628915},"
H2.0,2L,6013059,6019402,"{""name"":""H2.0"",""chr"":""2L"",""start"":6013059,""stop"":6019402},"
halo,2L,1517533,1518148,"{""name"":""halo"",""chr"":""2L"",""start"":1517533,""stop"":1518148},"
hay,3L,10631079,10633969,"{""name"":""hay"",""chr"":""3L"",""start"":10631079,""stop"":10633969},"
hb,3R,8690980,8697822,"{""name"":""hb"",""chr"":""3R"",""start"":8690980,""stop"":8697822},"
her,2L,16677185,16679691,"{""name"":""her"",""chr"":""2L"",""start"":16677185,""stop"":16679691},"
Hex-A,X,9585675,9589813,"{""name"":""Hex-A"",""chr"":""X"",""start"":9585675,""stop"":9589813},"
Hex-C,2R,15218837,15220329,"{""name"":""Hex-C"",""chr"":""2R"",""start"":15218837,""stop"":15220329},"
hfw,X,1669570,1673608,"{""name"":""hfw"",""chr"":""X"",""start"":1669570,""stop"":1673608},"
His2Av,3R,26866929,26869220,"{""name"":""His2Av"",""chr"":""3R"",""start"":26866929,""stop"":26869220},"
hook,2L,19030844,19033498,"{""name"":""hook"",""chr"":""2L"",""start"":19030844,""stop"":19033498},"
Hmr,X,10590920,10595855,"{""name"":""Hmr"",""chr"":""X"",""start"":10590920,""stop"":10595855},"
Hn,3L,7760453,7763166,"{""name"":""Hn"",""chr"":""3L"",""start"":7760453,""stop"":7763166},"
Hrb98DE,3R,28599834,28605777,"{""name"":""Hrb98DE"",""chr"":""3R"",""start"":28599834,""stop"":28605777},"
Hsc70-1,3L,13974061,13977761,"{""name"":""Hsc70-1"",""chr"":""3L"",""start"":13974061,""stop"":13977761},"
Hsc70-2,3R,13044759,13047388,"{""name"":""Hsc70-2"",""chr"":""3R"",""start"":13044759,""stop"":13047388},"
Hsc70-3,X,11801696,11807117,"{""name"":""Hsc70-3"",""chr"":""X"",""start"":11801696,""stop"":11807117},"
Hsc70-5,2R,14252598,14256192,"{""name"":""Hsc70-5"",""chr"":""2R"",""start"":14252598,""stop"":14256192},"
Hsf,2R,18130303,18134634,"{""name"":""Hsf"",""chr"":""2R"",""start"":18130303,""stop"":18134634},"
Hsp22,3L,9372931,9374964,"{""name"":""Hsp22"",""chr"":""3L"",""start"":9372931,""stop"":9374964},"
Hsp23,3L,9381882,9382765,"{""name"":""Hsp23"",""chr"":""3L"",""start"":9381882,""stop"":9382765},"
Hsp26,3L,9376418,9377427,"{""name"":""Hsp26"",""chr"":""3L"",""start"":9376418,""stop"":9377427},"
Hsp27,3L,9384063,9385694,"{""name"":""Hsp27"",""chr"":""3L"",""start"":9384063,""stop"":9385694},"
Hsp67Ba,3L,9377802,9379534,"{""name"":""Hsp67Ba"",""chr"":""3L"",""start"":9377802,""stop"":9379534},"
CG4456,3L,9372722,9374964,"{""name"":""CG4456"",""chr"":""3L"",""start"":9372722,""stop"":9374964},"
Hsp67Bc,3L,9371511,9372497,"{""name"":""Hsp67Bc"",""chr"":""3L"",""start"":9371511,""stop"":9372497},"
Hsp68,3R,24055080,24057310,"{""name"":""Hsp68"",""chr"":""3R"",""start"":24055080,""stop"":24057310},"
Hsp83,3L,3192969,3197059,"{""name"":""Hsp83"",""chr"":""3L"",""start"":3192969,""stop"":3197059},"
lncRNA:Hsromega,3R,21296127,21317836,"{""name"":""lncRNA:Hsromega"",""chr"":""3R"",""start"":21296127,""stop"":21317836},"
hth,3R,10507561,10639568,"{""name"":""hth"",""chr"":""3R"",""start"":10507561,""stop"":10639568},"
Ide,3L,20371672,20375896,"{""name"":""Ide"",""chr"":""3L"",""start"":20371672,""stop"":20375896},"
Idh,3L,8356404,8360906,"{""name"":""Idh"",""chr"":""3L"",""start"":8356404,""stop"":8360906},"
if,X,16752189,16783434,"{""name"":""if"",""chr"":""X"",""start"":16752189,""stop"":16783434},"
ImpE1,3L,8372405,8391171,"{""name"":""ImpE1"",""chr"":""3L"",""start"":8372405,""stop"":8391171},"
ImpE2,3L,3510974,3512681,"{""name"":""ImpE2"",""chr"":""3L"",""start"":3510974,""stop"":3512681},"
ImpE3,3R,8028453,8029546,"{""name"":""ImpE3"",""chr"":""3R"",""start"":8028453,""stop"":8029546},"
ImpL1,3L,13382765,13383999,"{""name"":""ImpL1"",""chr"":""3L"",""start"":13382765,""stop"":13383999},"
ImpL2,3L,4224006,4236147,"{""name"":""ImpL2"",""chr"":""3L"",""start"":4224006,""stop"":4236147},"
Ldh,3L,6259105,6262694,"{""name"":""Ldh"",""chr"":""3L"",""start"":6259105,""stop"":6262694},"
in,3L,20367198,20370259,"{""name"":""in"",""chr"":""3L"",""start"":20367198,""stop"":20370259},"
inaD,2R,22855688,22858794,"{""name"":""inaD"",""chr"":""2R"",""start"":22855688,""stop"":22858794},"
inv,2R,11474465,11509695,"{""name"":""inv"",""chr"":""2R"",""start"":11474465,""stop"":11509695},"
ix,2R,11359437,11360163,"{""name"":""ix"",""chr"":""2R"",""start"":11359437,""stop"":11360163},"
janA,3R,30038622,30039533,"{""name"":""janA"",""chr"":""3R"",""start"":30038622,""stop"":30039533},"
janB,3R,30037984,30038728,"{""name"":""janB"",""chr"":""3R"",""start"":30037984,""stop"":30038728},"
Jon44E,2R,8691448,8692844,"{""name"":""Jon44E"",""chr"":""2R"",""start"":8691448,""stop"":8692844},"
Jra,2R,10096480,10098556,"{""name"":""Jra"",""chr"":""2R"",""start"":10096480,""stop"":10098556},"
kar,3R,12682186,12689367,"{""name"":""kar"",""chr"":""3R"",""start"":12682186,""stop"":12689367},"
kay,3R,29765995,29794113,"{""name"":""kay"",""chr"":""3R"",""start"":29765995,""stop"":29794113},"
kel,2L,18129884,18138083,"{""name"":""kel"",""chr"":""2L"",""start"":18129884,""stop"":18138083},"
Khc,2R,16266960,16271971,"{""name"":""Khc"",""chr"":""2R"",""start"":16266960,""stop"":16271971},"
kkv,3R,5378093,5392866,"{""name"":""kkv"",""chr"":""3R"",""start"":5378093,""stop"":5392866},"
kl-2,Y,573088,664173,"{""name"":""kl-2"",""chr"":""Y"",""start"":573088,""stop"":664173},"
klar,3L,434083,540614,"{""name"":""klar"",""chr"":""3L"",""start"":434083,""stop"":540614},"
kn,2R,14772650,14807061,"{""name"":""kn"",""chr"":""2R"",""start"":14772650,""stop"":14807061},"
kni,3L,20692330,20695378,"{""name"":""kni"",""chr"":""3L"",""start"":20692330,""stop"":20695378},"
knk,3R,10122365,10125664,"{""name"":""knk"",""chr"":""3R"",""start"":10122365,""stop"":10125664},"
knrl,3L,20597141,20620659,"{""name"":""knrl"",""chr"":""3L"",""start"":20597141,""stop"":20620659},"
kto,3L,19836614,19844944,"{""name"":""kto"",""chr"":""3L"",""start"":19836614,""stop"":19844944},"
Kr,2R,25226611,25231394,"{""name"":""Kr"",""chr"":""2R"",""start"":25226611,""stop"":25231394},"
kz,X,2237858,2242035,"{""name"":""kz"",""chr"":""X"",""start"":2237858,""stop"":2242035},"
Mybbp1A,X,629773,633633,"{""name"":""Mybbp1A"",""chr"":""X"",""start"":629773,""stop"":633633},"
egh,X,2588503,2599111,"{""name"":""egh"",""chr"":""X"",""start"":2588503,""stop"":2599111},"
l(1)10Bb,X,11324294,11325308,"{""name"":""l(1)10Bb"",""chr"":""X"",""start"":11324294,""stop"":11325308},"
Ddx56,X,21385518,21387946,"{""name"":""Ddx56"",""chr"":""X"",""start"":21385518,""stop"":21387946},"
Grip91,X,13736570,13744683,"{""name"":""Grip91"",""chr"":""X"",""start"":13736570,""stop"":13744683},"
dlg1,X,11369665,11409776,"{""name"":""dlg1"",""chr"":""X"",""start"":11369665,""stop"":11409776},"
ifc,2L,5986348,5988854,"{""name"":""ifc"",""chr"":""2L"",""start"":5986348,""stop"":5988854},"
eIF4A,2L,5981764,5985909,"{""name"":""eIF4A"",""chr"":""2L"",""start"":5981764,""stop"":5985909},"
Arpc1,2L,13827941,13829741,"{""name"":""Arpc1"",""chr"":""2L"",""start"":13827941,""stop"":13829741},"
Sos,2L,13813816,13819824,"{""name"":""Sos"",""chr"":""2L"",""start"":13813816,""stop"":13819824},"
NimC3,2L,14019357,14020208,"{""name"":""NimC3"",""chr"":""2L"",""start"":14019357,""stop"":14020208},"
Pgant35A,2L,14359252,14361411,"{""name"":""Pgant35A"",""chr"":""2L"",""start"":14359252,""stop"":14361411},"
CIAPIN1,2L,15036293,15038861,"{""name"":""CIAPIN1"",""chr"":""2L"",""start"":15036293,""stop"":15038861},"
stc,2L,15113480,15118069,"{""name"":""stc"",""chr"":""2L"",""start"":15113480,""stop"":15118069},"
wor,2L,15423297,15425580,"{""name"":""wor"",""chr"":""2L"",""start"":15423297,""stop"":15425580},"
Mtr4,2L,15752263,15755900,"{""name"":""Mtr4"",""chr"":""2L"",""start"":15752263,""stop"":15755900},"
Gli,2L,15756002,15762758,"{""name"":""Gli"",""chr"":""2L"",""start"":15756002,""stop"":15762758},"
ND-B17,2L,15749319,15751078,"{""name"":""ND-B17"",""chr"":""2L"",""start"":15749319,""stop"":15751078},"
wek,2L,15766133,15768349,"{""name"":""wek"",""chr"":""2L"",""start"":15766133,""stop"":15768349},"
Ca-alpha1D,2L,16165831,16190540,"{""name"":""Ca-alpha1D"",""chr"":""2L"",""start"":16165831,""stop"":16190540},"
Cyp303a1,2L,16294183,16296969,"{""name"":""Cyp303a1"",""chr"":""2L"",""start"":16294183,""stop"":16296969},"
crp,2L,16263556,16287730,"{""name"":""crp"",""chr"":""2L"",""start"":16263556,""stop"":16287730},"
mRpL4,2L,16328059,16329132,"{""name"":""mRpL4"",""chr"":""2L"",""start"":16328059,""stop"":16329132},"
l(2)37Bb,2L,19049843,19051612,"{""name"":""l(2)37Bb"",""chr"":""2L"",""start"":19049843,""stop"":19051612},"
Catsup,2L,19041862,19043614,"{""name"":""Catsup"",""chr"":""2L"",""start"":19041862,""stop"":19043614},"
Lim3,2L,19079256,19108427,"{""name"":""Lim3"",""chr"":""2L"",""start"":19079256,""stop"":19108427},"
Phb1,2L,19121345,19123869,"{""name"":""Phb1"",""chr"":""2L"",""start"":19121345,""stop"":19123869},"
CG10561,2L,19114401,19116570,"{""name"":""CG10561"",""chr"":""2L"",""start"":19114401,""stop"":19116570},"
swm,2L,19493251,19497978,"{""name"":""swm"",""chr"":""2L"",""start"":19493251,""stop"":19497978},"
AspRS,2R,12877004,12883168,"{""name"":""AspRS"",""chr"":""2R"",""start"":12877004,""stop"":12883168},"
l(2)gl,2L,9839,21376,"{""name"":""l(2)gl"",""chr"":""2L"",""start"":9839,""stop"":21376},"
CG5504,2R,23706913,23709026,"{""name"":""CG5504"",""chr"":""2R"",""start"":23706913,""stop"":23709026},"
dre4,3L,1871574,1876312,"{""name"":""dre4"",""chr"":""3L"",""start"":1871574,""stop"":1876312},"
l(3)73Ah,3L,16588475,16590132,"{""name"":""l(3)73Ah"",""chr"":""3L"",""start"":16588475,""stop"":16590132},"
Prosbeta6,3L,16609400,16610418,"{""name"":""Prosbeta6"",""chr"":""3L"",""start"":16609400,""stop"":16610418},"
sas,3R,7162808,7183702,"{""name"":""sas"",""chr"":""3R"",""start"":7162808,""stop"":7183702},"
l(3)87Df,3R,13030913,13031598,"{""name"":""l(3)87Df"",""chr"":""3R"",""start"":13030913,""stop"":13031598},"
dco,3R,31054085,31061210,"{""name"":""dco"",""chr"":""3R"",""start"":31054085,""stop"":31061210},"
hyd,3R,9714623,9725615,"{""name"":""hyd"",""chr"":""3R"",""start"":9714623,""stop"":9725615},"
l(3)mbn,3L,6123934,6128807,"{""name"":""l(3)mbn"",""chr"":""3L"",""start"":6123934,""stop"":6128807},"
l(3)mbt,3R,27266326,27273273,"{""name"":""l(3)mbt"",""chr"":""3R"",""start"":27266326,""stop"":27273273},"
sti,3L,12507998,12514815,"{""name"":""sti"",""chr"":""3L"",""start"":12507998,""stop"":12514815},"
pho,4,1172469,1181628,"{""name"":""pho"",""chr"":""4"",""start"":1172469,""stop"":1181628},"
lab,3R,6661427,6678590,"{""name"":""lab"",""chr"":""3R"",""start"":6661427,""stop"":6678590},"
lace,2L,15499127,15505018,"{""name"":""lace"",""chr"":""2L"",""start"":15499127,""stop"":15505018},"
Lam,2L,5542480,5546642,"{""name"":""Lam"",""chr"":""2L"",""start"":5542480,""stop"":5546642},"
LanA,3L,6203831,6218022,"{""name"":""LanA"",""chr"":""3L"",""start"":6203831,""stop"":6218022},"
Lcp1,2R,8430115,8431243,"{""name"":""Lcp1"",""chr"":""2R"",""start"":8430115,""stop"":8431243},"
Lcp2,2R,8433797,8434785,"{""name"":""Lcp2"",""chr"":""2R"",""start"":8433797,""stop"":8434785},"
Lcp3,2R,8435310,8436095,"{""name"":""Lcp3"",""chr"":""2R"",""start"":8435310,""stop"":8436095},"
Lcp4,2R,8437647,8438495,"{""name"":""Lcp4"",""chr"":""2R"",""start"":8437647,""stop"":8438495},"
lds,3R,7920431,7924491,"{""name"":""lds"",""chr"":""3R"",""start"":7920431,""stop"":7924491},"
robo2,2L,1380086,1420453,"{""name"":""robo2"",""chr"":""2L"",""start"":1380086,""stop"":1420453},"
lin,2R,8914524,8918234,"{""name"":""lin"",""chr"":""2R"",""start"":8914524,""stop"":8918234},"
l(1)sc,X,409721,410817,"{""name"":""l(1)sc"",""chr"":""X"",""start"":409721,""stop"":410817},"
Lsp1alpha,X,12490291,12492982,"{""name"":""Lsp1alpha"",""chr"":""X"",""start"":12490291,""stop"":12492982},"
Lsp1beta,2L,898500,901316,"{""name"":""Lsp1beta"",""chr"":""2L"",""start"":898500,""stop"":901316},"
Lsp1gamma,3L,66430,68995,"{""name"":""Lsp1gamma"",""chr"":""3L"",""start"":66430,""stop"":68995},"
Lsp2,3L,12129393,12131869,"{""name"":""Lsp2"",""chr"":""3L"",""start"":12129393,""stop"":12131869},"
lt,2L,22924795,22943135,"{""name"":""lt"",""chr"":""2L"",""start"":22924795,""stop"":22943135},"
Rab32,2R,9177864,9186342,"{""name"":""Rab32"",""chr"":""2R"",""start"":9177864,""stop"":9186342},"
Mal-A2,2R,8453627,8455782,"{""name"":""Mal-A2"",""chr"":""2R"",""start"":8453627,""stop"":8455782},"
Mal-A1,2R,8449664,8451904,"{""name"":""Mal-A1"",""chr"":""2R"",""start"":8449664,""stop"":8451904},"
Mal-A3,2R,8455909,8457892,"{""name"":""Mal-A3"",""chr"":""2R"",""start"":8455909,""stop"":8457892},"
sens,3L,13396228,13401125,"{""name"":""sens"",""chr"":""3L"",""start"":13396228,""stop"":13401125},"
lz,X,9284649,9303636,"{""name"":""lz"",""chr"":""X"",""start"":9284649,""stop"":9303636},"
m,X,11754273,11769508,"{""name"":""m"",""chr"":""X"",""start"":11754273,""stop"":11769508},"
Kaz-m1,3R,26014721,26016487,"{""name"":""Kaz-m1"",""chr"":""3R"",""start"":26014721,""stop"":26016487},"
RpL36,X,628338,629483,"{""name"":""RpL36"",""chr"":""X"",""start"":628338,""stop"":629483},"
RpS5a,X,17143588,17148264,"{""name"":""RpS5a"",""chr"":""X"",""start"":17143588,""stop"":17148264},"
E(spl)m2-BFM,3R,26016514,26017470,"{""name"":""E(spl)m2-BFM"",""chr"":""3R"",""start"":26016514,""stop"":26017470},"
RpLP1,2L,419952,420864,"{""name"":""RpLP1"",""chr"":""2L"",""start"":419952,""stop"":420864},"
E(spl)m3-HLH,3R,26021823,26023127,"{""name"":""E(spl)m3-HLH"",""chr"":""3R"",""start"":26021823,""stop"":26023127},"
RpS3,3R,23358812,23360207,"{""name"":""RpS3"",""chr"":""3R"",""start"":23358812,""stop"":23360207},"
RpL32,3R,30045229,30046161,"{""name"":""RpL32"",""chr"":""3R"",""start"":30045229,""stop"":30046161},"
E(spl)m4-BFM,3R,26023821,26024579,"{""name"":""E(spl)m4-BFM"",""chr"":""3R"",""start"":26023821,""stop"":26024579},"
E(spl)m5-HLH,3R,26028854,26029735,"{""name"":""E(spl)m5-HLH"",""chr"":""3R"",""start"":26028854,""stop"":26029735},"
E(spl)m6-BFM,3R,26032911,26034047,"{""name"":""E(spl)m6-BFM"",""chr"":""3R"",""start"":26032911,""stop"":26034047},"
E(spl)m7-HLH,3R,26037038,26038019,"{""name"":""E(spl)m7-HLH"",""chr"":""3R"",""start"":26037038,""stop"":26038019},"
Rcc1,3L,5930262,5932773,"{""name"":""Rcc1"",""chr"":""3L"",""start"":5930262,""stop"":5932773},"
mal,X,20429675,20433210,"{""name"":""mal"",""chr"":""X"",""start"":20429675,""stop"":20433210},"
mam,2R,13991203,14060356,"{""name"":""mam"",""chr"":""2R"",""start"":13991203,""stop"":14060356},"
Map205,3R,32055279,32068441,"{""name"":""Map205"",""chr"":""3R"",""start"":32055279,""stop"":32068441},"
twe,2L,16259414,16261877,"{""name"":""twe"",""chr"":""2L"",""start"":16259414,""stop"":16261877},"
mei-9,X,4314230,4318801,"{""name"":""mei-9"",""chr"":""X"",""start"":4314230,""stop"":4318801},"
mei-218,X,17135985,17142990,"{""name"":""mei-218"",""chr"":""X"",""start"":17135985,""stop"":17142990},"
mei-S332,2R,22122101,22124566,"{""name"":""mei-S332"",""chr"":""2R"",""start"":22122101,""stop"":22124566},"
mei-W68,2R,19456170,19459523,"{""name"":""mei-W68"",""chr"":""2R"",""start"":19456170,""stop"":19459523},"
Men,3R,12713103,12722442,"{""name"":""Men"",""chr"":""3R"",""start"":12713103,""stop"":12722442},"
Met,X,11616124,11621280,"{""name"":""Met"",""chr"":""X"",""start"":11616124,""stop"":11621280},"
E(spl)malpha-BFM,3R,26010893,26011568,"{""name"":""E(spl)malpha-BFM"",""chr"":""3R"",""start"":26010893,""stop"":26011568},"
E(spl)mbeta-HLH,3R,26005046,26006023,"{""name"":""E(spl)mbeta-HLH"",""chr"":""3R"",""start"":26005046,""stop"":26006023},"
E(spl)mdelta-HLH,3R,25997621,25998633,"{""name"":""E(spl)mdelta-HLH"",""chr"":""3R"",""start"":25997621,""stop"":25998633},"
E(spl)mgamma-HLH,3R,25999851,26000761,"{""name"":""E(spl)mgamma-HLH"",""chr"":""3R"",""start"":25999851,""stop"":26000761},"
mago,2R,21128577,21129737,"{""name"":""mago"",""chr"":""2R"",""start"":21128577,""stop"":21129737},"
Mlc1,3R,27657078,27660177,"{""name"":""Mlc1"",""chr"":""3R"",""start"":27657078,""stop"":27660177},"
Mlc2,3R,30171438,30174551,"{""name"":""Mlc2"",""chr"":""3R"",""start"":30171438,""stop"":30174551},"
mle,2R,5974857,5980778,"{""name"":""mle"",""chr"":""2R"",""start"":5974857,""stop"":5980778},"
msl-3,3L,7123213,7125533,"{""name"":""msl-3"",""chr"":""3L"",""start"":7123213,""stop"":7125533},"
mnd,3L,14985100,14991667,"{""name"":""mnd"",""chr"":""3L"",""start"":14985100,""stop"":14991667},"
mod,3R,32052060,32054974,"{""name"":""mod"",""chr"":""3R"",""start"":32052060,""stop"":32054974},"
mod(mdg4),3R,21350846,21377401,"{""name"":""mod(mdg4)"",""chr"":""3R"",""start"":21350846,""stop"":21377401},"
mor,3R,15968134,15972913,"{""name"":""mor"",""chr"":""3R"",""start"":15968134,""stop"":15972913},"
Rpn8,2R,24400028,24404527,"{""name"":""Rpn8"",""chr"":""2R"",""start"":24400028,""stop"":24404527},"
Mp20,2R,13246670,13248880,"{""name"":""Mp20"",""chr"":""2R"",""start"":13246670,""stop"":13248880},"
mr,2R,23972431,23975408,"{""name"":""mr"",""chr"":""2R"",""start"":23972431,""stop"":23975408},"
ms(3)K81,3R,26875852,26876562,"{""name"":""ms(3)K81"",""chr"":""3R"",""start"":26875852,""stop"":26876562},"
sa,3L,21405425,21406738,"{""name"":""sa"",""chr"":""3L"",""start"":21405425,""stop"":21406738},"
Acp26Aa,2L,5892883,5893896,"{""name"":""Acp26Aa"",""chr"":""2L"",""start"":5892883,""stop"":5893896},"
Acp26Ab,2L,5892298,5892862,"{""name"":""Acp26Ab"",""chr"":""2L"",""start"":5892298,""stop"":5892862},"
Mst87F,3R,13827151,13828008,"{""name"":""Mst87F"",""chr"":""3R"",""start"":13827151,""stop"":13828008},"
Acp95EF,3R,24228975,24229279,"{""name"":""Acp95EF"",""chr"":""3R"",""start"":24228975,""stop"":24229279},"
Mst98Ca,3R,28291338,28292656,"{""name"":""Mst98Ca"",""chr"":""3R"",""start"":28291338,""stop"":28292656},"
MtnA,3R,9783407,9784370,"{""name"":""MtnA"",""chr"":""3R"",""start"":9783407,""stop"":9784370},"
MtnB,3R,20503102,20503746,"{""name"":""MtnB"",""chr"":""3R"",""start"":20503102,""stop"":20503746},"
mu2,3L,1942734,1947475,"{""name"":""mu2"",""chr"":""3L"",""start"":1942734,""stop"":1947475},"
mud,X,14247732,14258595,"{""name"":""mud"",""chr"":""X"",""start"":14247732,""stop"":14258595},"
mus101,X,13722246,13727113,"{""name"":""mus101"",""chr"":""X"",""start"":13722246,""stop"":13727113},"
mus201,2L,8438169,8442342,"{""name"":""mus201"",""chr"":""2L"",""start"":8438169,""stop"":8442342},"
PolZ1,2R,7793625,7801044,"{""name"":""PolZ1"",""chr"":""2R"",""start"":7793625,""stop"":7801044},"
mus301,3L,8137808,8142014,"{""name"":""mus301"",""chr"":""3L"",""start"":8137808,""stop"":8142014},"
mus304,3L,18109814,18112847,"{""name"":""mus304"",""chr"":""3L"",""start"":18109814,""stop"":18112847},"
PolQ,3R,12705523,12712299,"{""name"":""PolQ"",""chr"":""3R"",""start"":12705523,""stop"":12712299},"
Blm,3R,11736810,11741783,"{""name"":""Blm"",""chr"":""3R"",""start"":11736810,""stop"":11741783},"
mus312,3L,7329132,7333471,"{""name"":""mus312"",""chr"":""3L"",""start"":7329132,""stop"":7333471},"
Myb,X,15854832,15857823,"{""name"":""Myb"",""chr"":""X"",""start"":15854832,""stop"":15857823},"
